ensembl_id	biotype	description
ENSG00000225632	lncRNA	SSBP3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40721]
ENSG00000225637	lncRNA	novel transcript
ENSG00000225643	NOT_FOUND_IN_ENSEMBL	
ENSG00000225647	lncRNA	novel transcript
ENSG00000225649	lncRNA	novel transcript
ENSG00000225655	NOT_FOUND_IN_ENSEMBL	
ENSG00000225656	lncRNA	novel transcript
ENSG00000225676	lncRNA	novel transcript
ENSG00000225680	lncRNA	novel transcript
ENSG00000225689	lncRNA	novel transcript
ENSG00000225703	lncRNA	novel transcript
ENSG00000225708	lncRNA	novel transcript
ENSG00000225718	lncRNA	novel transcript
ENSG00000225721	lncRNA	novel transcript
ENSG00000225750	lncRNA	novel transcript
ENSG00000225751	lncRNA	novel transcript, antisense to STX8
ENSG00000225752	lncRNA	novel transcript
ENSG00000225775	lncRNA	novel transcript
ENSG00000225785	lncRNA	novel transcript
ENSG00000225790	NOT_FOUND_IN_ENSEMBL	
ENSG00000225794	lncRNA	novel transcript
ENSG00000225806	lncRNA	novel transcript, antisense to GNAS
ENSG00000225807	lncRNA	novel transcript
ENSG00000225811	lncRNA	novel transcript
ENSG00000225815	lncRNA	novel transcript
ENSG00000225818	lncRNA	novel transcript
ENSG00000225819	lncRNA	novel transcript
ENSG00000225836	NOT_FOUND_IN_ENSEMBL	
ENSG00000225850	lncRNA	novel transcript
ENSG00000225867	lncRNA	novel transcript
ENSG00000225879	lncRNA	novel transcript
ENSG00000225881	lncRNA	novel transcript
ENSG00000225884	lncRNA	novel transcript (hCG2045843)
ENSG00000225885	lncRNA	novel transcript, antisense to SAMD12
ENSG00000225886	lncRNA	novel transcript, antisense to IFI6
ENSG00000225889	lncRNA	novel transcript, antisense to PELI1
ENSG00000225913	lncRNA	novel transcript
ENSG00000225929	lncRNA	novel transcript
ENSG00000225952	lncRNA	novel transcript
ENSG00000225956	lncRNA	novel transcript
ENSG00000225960	lncRNA	novel transcript
ENSG00000225963	lncRNA	novel transcript, antisense to SP110
ENSG00000225970	lncRNA	novel transcript
ENSG00000225974	lncRNA	novel transcript
ENSG00000225982	lncRNA	novel transcript
ENSG00000226012	lncRNA	novel transcript
ENSG00000226022	lncRNA	novel transcript
ENSG00000226032	NOT_FOUND_IN_ENSEMBL	
ENSG00000226041	lncRNA	novel transcript
ENSG00000226043	lncRNA	novel transcript
ENSG00000226047	lncRNA	novel transcript
ENSG00000226063	lncRNA	novel transcript
ENSG00000226078	NOT_FOUND_IN_ENSEMBL	
ENSG00000226079	NOT_FOUND_IN_ENSEMBL	
ENSG00000226087	lncRNA	novel transcript
ENSG00000226097	lncRNA	novel transcript
ENSG00000226115	lncRNA	novel transcript
ENSG00000226130	lncRNA	novel transcript
ENSG00000226134	lncRNA	novel transcript
ENSG00000226143	lncRNA	novel transcript
ENSG00000226149	lncRNA	novel transcript
ENSG00000226163	lncRNA	novel transcript
ENSG00000226169	lncRNA	novel transcript
ENSG00000226172	lncRNA	novel transcript
ENSG00000226180	lncRNA	novel transcript
ENSG00000226193	lncRNA	SYNE1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40794]
ENSG00000226197	lncRNA	novel transcript
ENSG00000226204	lncRNA	novel transcript
ENSG00000226206	lncRNA	novel transcript
ENSG00000226207	lncRNA	novel transcript
ENSG00000226208	lncRNA	novel transcript
