organ	gene_adult_evidence_provenance	elev_pct	adult_pct	gene	in_hdma_universe	hdma_median_pct	elevated	adult_excluded	passes_F_developmental	n_candidates_this_combo
Skin	GTEx-only	90	10	H19	True	74.12844036697248	False	False	False	245
Skin	GTEx+HPA	90	10	LIN28B	True	52.57094090036271	False	True	False	245
Skin	GTEx+HPA	90	10	PEG10	True	79.1152917249269	False	True	False	245
Skin	GTEx+HPA	90	25	DLK1	True	51.54683166204394	False	True	False	395
Skin	GTEx+HPA	90	25	IGF2	True	73.08299551952209	False	False	False	395
Skin	GTEx-only	90	25	H19	True	74.12844036697248	False	False	False	395
Skin	GTEx+HPA	90	25	LIN28B	True	52.57094090036271	False	True	False	395
Skin	GTEx+HPA	90	25	PEG10	True	79.1152917249269	False	True	False	395
Stomach	GTEx+HPA	75	10	DLK1	True	22.27284217803072	False	True	False	496
Stomach	GTEx+HPA	75	10	IGF2	True	57.28764204839173	False	False	False	496
Stomach	GTEx-only	75	10	H19	True	56.120113047491806	False	False	False	496
Stomach	GTEx+HPA	75	10	LIN28B	True	33.08618437167507	False	True	False	496
Stomach	GTEx+HPA	75	10	PEG10	True	49.44794553777722	False	False	False	496
Stomach	GTEx+HPA	75	25	DLK1	True	22.27284217803072	False	True	False	750
Stomach	GTEx+HPA	75	25	IGF2	True	57.28764204839173	False	False	False	750
Stomach	GTEx-only	75	25	H19	True	56.120113047491806	False	False	False	750
Stomach	GTEx+HPA	75	25	LIN28B	True	33.08618437167507	False	True	False	750
Stomach	GTEx+HPA	75	25	PEG10	True	49.44794553777722	False	False	False	750
Stomach	GTEx+HPA	90	10	DLK1	True	22.27284217803072	False	True	False	170
Stomach	GTEx+HPA	90	10	IGF2	True	57.28764204839173	False	False	False	170
Stomach	GTEx-only	90	10	H19	True	56.120113047491806	False	False	False	170
Stomach	GTEx+HPA	90	10	LIN28B	True	33.08618437167507	False	True	False	170
Stomach	GTEx+HPA	90	10	PEG10	True	49.44794553777722	False	False	False	170
Stomach	GTEx+HPA	90	25	DLK1	True	22.27284217803072	False	True	False	265
Stomach	GTEx+HPA	90	25	IGF2	True	57.28764204839173	False	False	False	265
Stomach	GTEx-only	90	25	H19	True	56.120113047491806	False	False	False	265
Stomach	GTEx+HPA	90	25	LIN28B	True	33.08618437167507	False	True	False	265
Stomach	GTEx+HPA	90	25	PEG10	True	49.44794553777722	False	False	False	265
