gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ABI2	965	1097	140	1550
ABI3	15	25	3	22
ABI3BP	135	226	18	130
ABITRAM	52	54	6	52
ABL1	3779	3287	219	2795
ABL2	820	1144	100	605
ABLIM1	338	312	142	295
ABLIM2	430	531	39	547
ABLIM2-DT	0	0	0	2
ABLIM3	40	42	15	70
ABO	932	1915	36	910
ABR	514	3803	127	609
ABR-AS1	1	3	0	5
ABRA	2	2	0	2
ABRACL	8	11	0	7
ABRAXAS1	93	135	16	138
ABRAXAS2	223	299	28	176
ABT1	8	15	1	19
ABTB1	18	17	3	19
ABTB2	7545	41141	437	1786
ACAA1	102	102	5	128
ACAA2	46	57	3	40
ACACA	3189	4741	245	3431
ACACB	6049	9519	195	2721
ACAD10	314	340	31	378
ACAD8	46	55	3	54
ACAD9	643	1762	72	507
ACAD9-DT	12	17	5	24
ACADL	13	31	2	11
ACADM	577	531	45	719
ACADS	40	55	2	41
ACADSB	182	245	16	131
ACADVL	1034	1933	52	878
ACAN	32	67	3	39
ACAP1	11	15	0	19
ACAP2	892	988	151	1045
ACAP3	144	350	24	194
ACAT1	170	257	19	175
ACAT2	318	360	16	165
ACBD3	464	646	35	354
ACBD3-AS1	19	7	1	4
ACBD4	39	96	6	57
ACBD5	396	416	26	394
ACBD6	1875	2187	138	1717
ACBD7	14	19	2	10
ACCS	150	201	25	175
ACCSL	5	11	0	3
ACD	25	52	2	30
ACE	2	1	1	5
ACE2	19	21	1	17
ACER1	20	25	1	16
ACER2	98	135	25	92
ACER3	197	323	35	251
ACER3-AS1	9	7	0	13
ACHE	2	3	3	6
ACIN1	1173	1642	88	1051
ACKR1	1	0	0	0
ACKR2	6	13	0	10
ACKR3	7	9	1	8
ACKR4	16	24	1	11
ACLY	323	332	33	365
ACMSD	36	40	2	26
ACO1	652	493	30	271
ACO2	535	790	40	433
ACOD1	4	7	2	4
ACOT1	10	7	2	10
ACOT11	87	168	33	119
ACOT12	30	22	3	24
ACOT13	91	81	12	144
ACOT2	21	26	2	10
ACOT6	11	25	1	6
ACOT7	101	263	11	117
ACOT8	190	164	5	136
ACOT9	312	606	25	208
ACOX1	302	442	28	219
ACOX2	27	57	8	91
ACOX3	220	352	34	215
ACOXL	119	182	10	82
ACP1	435	648	30	236
ACP2	38	41	6	55
ACP3	45	76	1	52
ACP4	2	5	1	6
ACP5	2	2	2	5
ACP6	171	181	12	182
ACP7	22	43	3	20
ACR	4	5	0	4
ACRBP	18	14	3	15
ACRV1	2	4	2	6
ACSBG1	108	214	11	209
ACSBG2	61	112	8	63
ACSF2	333	659	33	757
ACSF3	353	696	28	354
ACSL1	75	137	19	76
ACSL1-DT	7	3	1	2
ACSL3	715	2031	68	576
ACSL4	2379	1882	57	668
ACSL5	28	65	6	37
ACSL6-AS1	0	0	0	4
ACSM1	101	177	15	123
ACSM2A	9	24	1	11
ACSM2B	6	8	0	6
ACSM3	4080	9362	282	4419
ACSM4	8	18	0	18
ACSM5	9	17	0	9
ACSM6	41	43	3	33
ACSS1	848	1167	27	273
ACSS2	460	828	50	511
ACSS3	96	129	30	110
ACSS3-AS1	10	8	3	3
ACTA1	4	18	1	8
ACTA2	44	106	9	71
ACTB	114	168	10	133
ACTC1	13	13	3	5
ACTG1	53	98	7	60
ACTG2	22	18	2	12
ACTL10	2	4	0	0
ACTL6A	101	102	16	126
