	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
AL360268.1	9.0	1.0	1.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A25-AS1	1581.0	619.0	724.0	907.0	1505.0	1261.0	380.0	82.0	13.0	52.0	272.0	71.0
PTGES2	1344.0	1356.0	2121.0	2587.0	3384.0	4165.0	556.0	59.0	39.0	72.0	918.0	334.0
AL590708.1	30.0	9.0	37.0	35.0	44.0	48.0	5.0	1.0	1.0	1.0	5.0	8.0
LCN2	2324.0	4946.0	2890.0	12955.0	3597.0	17492.0	947.0	33.0	6.0	12.0	66.0	19.0
C9orf16	2850.0	1545.0	2416.0	2937.0	2823.0	4576.0	1087.0	486.0	214.0	191.0	2044.0	304.0
CIZ1	566.0	310.0	652.0	624.0	854.0	841.0	149.0	138.0	58.0	95.0	414.0	98.0
DNM1	65.0	70.0	17.0	51.0	53.0	52.0	13.0	32.0	11.0	41.0	117.0	82.0
GOLGA2	1998.0	781.0	1440.0	1827.0	2181.0	2331.0	510.0	307.0	119.0	132.0	835.0	199.0
SWI5	498.0	245.0	387.0	710.0	354.0	636.0	137.0	194.0	118.0	70.0	726.0	121.0
TRUB2	421.0	513.0	681.0	1026.0	658.0	1119.0	205.0	200.0	149.0	60.0	775.0	210.0
AL359091.4	5.0	2.0	0.0	4.0	5.0	3.0	1.0	2.0	1.0	0.0	1.0	0.0
COQ4	1938.0	1074.0	1736.0	1611.0	2181.0	3896.0	801.0	359.0	218.0	138.0	1747.0	464.0
SLC27A4	900.0	329.0	598.0	420.0	954.0	892.0	402.0	16.0	6.0	7.0	79.0	65.0
URM1	1016.0	789.0	933.0	1315.0	1068.0	2028.0	336.0	295.0	252.0	152.0	1229.0	385.0
AL359091.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359091.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CERCAM	2.0	1.0	4.0	53.0	4.0	3.0	2.0	16.0	6.0	2.0	56.0	20.0
ODF2	371.0	101.0	252.0	516.0	411.0	334.0	101.0	61.0	38.0	20.0	249.0	48.0
ODF2-AS1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GLE1	390.0	219.0	261.0	472.0	389.0	517.0	102.0	65.0	41.0	34.0	252.0	107.0
AL356481.1	11.0	2.0	2.0	13.0	5.0	8.0	7.0	1.0	0.0	1.0	5.0	2.0
SPTAN1	4018.0	1234.0	2342.0	2307.0	3920.0	3676.0	1352.0	450.0	127.0	279.0	1465.0	411.0
AL356481.3	1.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
WDR34	1383.0	819.0	893.0	1993.0	985.0	2140.0	344.0	241.0	189.0	52.0	965.0	195.0
HMGA1P4	38.0	29.0	27.0	33.0	31.0	30.0	2.0	25.0	9.0	8.0	28.0	16.0
SET	2854.0	2721.0	5367.0	41952.0	7289.0	5506.0	630.0	1594.0	824.0	672.0	3259.0	770.0
PKN3	107.0	19.0	59.0	124.0	118.0	63.0	24.0	4.0	4.0	5.0	56.0	9.0
ZDHHC12	2376.0	1515.0	1451.0	2066.0	1529.0	3268.0	704.0	399.0	197.0	76.0	1149.0	293.0
AL441992.1	225.0	188.0	93.0	242.0	131.0	235.0	41.0	33.0	3.0	2.0	64.0	9.0
ZER1	854.0	213.0	276.0	203.0	471.0	686.0	187.0	64.0	26.0	58.0	292.0	103.0
TBC1D13	194.0	101.0	137.0	122.0	176.0	239.0	26.0	40.0	9.0	13.0	70.0	69.0
ENDOG	827.0	705.0	553.0	1810.0	1001.0	885.0	158.0	28.0	14.0	25.0	202.0	35.0
SPOUT1	258.0	163.0	262.0	521.0	338.0	338.0	88.0	66.0	33.0	33.0	203.0	90.0
KYAT1	41.0	14.0	17.0	49.0	20.0	36.0	8.0	11.0	5.0	7.0	42.0	14.0
LRRC8A	1067.0	329.0	221.0	467.0	824.0	554.0	214.0	98.0	6.0	53.0	95.0	35.0
PHYHD1	41.0	27.0	14.0	18.0	34.0	12.0	12.0	91.0	59.0	35.0	313.0	51.0
AL672142.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOLK	112.0	96.0	117.0	185.0	166.0	225.0	36.0	51.0	11.0	3.0	137.0	51.0
NUP188	172.0	92.0	276.0	380.0	438.0	291.0	56.0	38.0	17.0	24.0	151.0	49.0
AL592211.1	1.0	5.0	1.0	26.0	11.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
SH3GLB2	1728.0	710.0	890.0	1110.0	1861.0	1328.0	636.0	71.0	44.0	65.0	419.0	81.0
MIGA2	1019.0	340.0	403.0	560.0	1363.0	1178.0	458.0	50.0	11.0	26.0	89.0	57.0
DOLPP1	669.0	266.0	220.0	472.0	423.0	736.0	186.0	83.0	29.0	41.0	371.0	96.0
CRAT	1785.0	660.0	689.0	652.0	1307.0	2264.0	718.0	164.0	72.0	85.0	581.0	270.0
AL158151.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTPA	707.0	371.0	549.0	673.0	785.0	986.0	174.0	127.0	44.0	50.0	235.0	110.0
AL158151.4	2.0	0.0	1.0	10.0	5.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0
IER5L	909.0	222.0	194.0	1267.0	875.0	290.0	302.0	158.0	37.0	101.0	537.0	183.0
AL158151.3	2.0	5.0	1.0	10.0	8.0	2.0	2.0	1.0	0.0	3.0	5.0	3.0
