gene	Fetal	Placenta	Adult	marker
PEG3	0.6686846461157677	0.3246947138236801	0.006620640060552156	
EFS	0.7455044085003556	0.24711435973231405	0.007381231767330254	
TRIM36	0.009708737864077669	0.009708737864077669	0.9805825242718447	
CCNG2	0.9224289420887826	0.059596671424181256	0.017974386487036184	
FBLN1	0.6218579678349431	0.37173904277533937	0.006402989389717503	
NOXO1	0.005144100771152729	0.5195541778864257	0.4753017213424216	
RAMP1	0.9721024086701393	0.013948795664930352	0.013948795664930352	
PLPP2	0.005964961935937458	0.3915738825343792	0.6024611555296833	
ARMCX2	0.9749484276972532	0.012525786151373399	0.012525786151373399	
FLRT3	0.969880335099841	0.015059832450079516	0.015059832450079516	
ARHGEF17	0.9700466098720443	0.01497669506397786	0.01497669506397786	
SDC2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SFTA2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
PAM	0.9656046924970787	0.01719765375146063	0.01719765375146063	
AL358472.4	0.7502149567547314	0.23743164628788188	0.012353396957386844	
TPST1	0.9767736091483866	0.011613195425806704	0.011613195425806704	
PTN	0.5500455793913777	0.44450842477306407	0.005445995835558195	
PDZK1IP1	0.009708737864077669	0.009708737864077669	0.9805825242718447	
ANO6	0.6611220367560621	0.3259620751492963	0.012915888094641535	
HSPB6	0.9764695727255356	0.011765213637232208	0.011765213637232208	
FHL3	0.9742190893199568	0.0128904553400216	0.0128904553400216	
MORN3	0.6096585950410308	0.3819236007242571	0.008417804234712264	
AC108134.3	0.9805825242718447	0.009708737864077669	0.009708737864077669	
AL158151.1	0.6578336203011195	0.33565317553748325	0.006513204161397223	
SLC7A4	0.5106401316338908	0.48266423695648425	0.0066956314096249135	
HLA-F	0.009708737864077669	0.009708737864077669	0.9805825242718447	
UPK1B	0.6970430725713664	0.29605551086852105	0.0069014165601125384	
P3H3	0.9785742031340887	0.010712898432955656	0.010712898432955656	
CELF4	0.977600324167832	0.011199837916083973	0.011199837916083973	
FOXF1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
TMEM54	0.005731273881396702	0.47108175023036414	0.5231869758882391	
PDP1	0.9630931931671676	0.018453403416416193	0.018453403416416193	
TRO	0.9805825242718447	0.009708737864077669	0.009708737864077669	
