	Adrenal	Thyroid	Spleen	Thymus	Liver	Skin	Stomach
ACADSB	-12.122857538544167	6.121854152606112	15.400086615699067	33.78770425883926	0.8896839231641565	10.840913970243136	1.8830261532547752
ACADVL	-7.271219611650537	-8.417232433570973	-14.46570918051924	-8.075309639952465	-2.9549253974654306	-7.768537287422788	-7.523786111523577
ACAN	36.913485949983674	56.6367433152513	82.4878730576338	85.63548300295992	75.25544588895168	67.79603157670151	62.68529534909716
ACAP1	-13.264375692680481	-18.260486009344717	-16.067885615728727	13.135652149699638	-57.577651704631194	-6.605594782132581	-29.58141481763354
ACAP2	43.24024920025889	24.867219031280015	23.707661706479513	30.091422455253337	32.51429966912702	30.26291967729722	39.15012315173153
ACAP3	-13.031826517650288	-17.001519817715717	-11.807831615108483	48.97128603745561	-5.964518630307808	-17.00788862835107	-8.692257507680637
ACAT1	-27.875552987210142	-19.781172819450063	-12.2731189360631	-1.0381651199454325	-18.0734234085553	-17.727111459639403	-26.421860544267517
ACAT2	-0.7283936213833044	3.0964204096109995	-7.179346873174445	-27.93594121194669	-17.0574435421845	-14.512492021678398	-21.7560274816408
ACBD3	14.228997562328047	3.461941556896363	14.737063391558962	20.05710698858259	5.165770480265778	4.331161718980425	2.1766084984027287
ACBD3-AS1	10.470765078457967	0.004800537660217944					8.808690316218547
ACBD4	-22.809635721032052	-27.11914724987905	-17.7183025454448	17.068994865534755	-29.071133153002357	-1.9694938740612926	-27.866340866041583
ACBD5	2.7153128468979446	2.584146008571622	19.680879510611554	26.218234838752736	-8.158855444537323	11.419615572957127	6.730167033364566
ACBD6	25.719078850961154	25.7230127495301	28.189667215018588	26.832814457427574	36.12154680112411	30.25563832136764	31.685121067480473
ACBD7	12.30809078005906	2.8266746848492676	26.81783309180803	-10.702149562331996	19.818181818181817	23.098921504834294	12.081805120807491
ACCS	-12.798269747923783	-16.664535079994366	-14.702831841595042	32.89759318928114	-20.72055623526014	1.1975482406125622	-10.415628529983863
ACCSL			5.792345068621601	0.004267121826328142	3.651604249787388	3.5601743807130415	
ACD	-33.3937716869669	-47.45882264151266	-44.530369939836014	-14.329143972530087	-34.60628776360614	-8.728724900929862	-36.51355147761649
ACE	-28.759518706192676	-30.828894558314616	-8.175656304225445	15.427392591263791	-5.511935401745454	-5.8328966641979925	-27.539492100332964
ACE2	16.380445755675648	-5.021569219802931	29.395272601794343	29.886025987848686	-1.9763891412966288	31.49019109359773	4.10464319975838
ACER1	18.917287467817047	15.880178580000958	35.92132505175984	39.14784945616447	24.0966998565155	-79.05138046460542	21.46279036471219
ACER2	41.4990875375547	28.97230807988843	45.13515442269147	47.23064248439261	43.7041571924931	27.405272976065945	-23.18333718509608
ACER3	45.13663236695433	44.279470378575304	37.79017536073514	74.96613336089491	31.603579935468076	59.30515192425149	52.18346230664001
ACHE	-15.426175083430687	3.4013143230409675	6.827246108799507	26.82326695918608	20.206356873712544	15.45786546441971	-8.438454110970401
ACIN1	2.742084868742481	-0.6295417232091722	3.1041411217645845	6.196785176668612	7.4378409716904486	6.546008789712019	5.9833660512530855
ACKR1			-89.30141171874456		-20.08934313651052	-90.31423515265311	
ACKR2	5.572051116610872	-28.594710672625624			-14.359261749642425		
ACKR3	-27.484069011432446	-50.73385216195697	-43.5762040214702	11.34489981296285	-38.63542774588153	-25.812083490016263	-47.40746355007991
ACKR4	11.82607213531983	20.02136519151891	22.28605051660318	14.652534480464766	17.407181302139538	2.5761557886684514	-34.07659583571378
ACLY	-4.24955965639802	-13.037492083474874	-5.762720749733006	-6.374967626245848	5.401213779774594	-0.6018491712623728	-10.82451159254066
